lat,lon,dist_jobs_1,dist_jobs_2,dist_jobs_3,dist_jobs_4,dist_jobs_5,dist_edu_1,dist_edu_2,dist_edu_3,dist_edu_4,dist_edu_5,dist_health_1,dist_health_2,dist_health_3,dist_health_4,dist_health_5,dist_retail_1,dist_retail_2,dist_retail_3,dist_retail_4,dist_retail_5,dist_transport_1,dist_transport_2,dist_transport_3,dist_transport_4,dist_transport_5
-1.46,36.78000000000006,9.359366186323834,11.333795993512219,11.734562374783764,11.76328947464093,11.894729374439313,8.811965302710616,10.296962593193133,10.503703927063128,10.572472164890874,10.93101163801665,13.505219147203915,14.69184481294099,14.76359693624546,15.05059994528543,15.161736904939547,11.30137370873741,11.339081941262153,11.3617427006017,11.41970036471374,11.424893198595464,9.905726510100797,10.546490646976281,11.314959295381822,11.381030783931497,11.400701125011425
-1.46,36.78500000000006,9.474778260172615,11.546174193231739,11.95630336872489,11.961657172841697,12.080171381412278,8.914615901955955,10.521551973633015,10.602505569205105,10.66974267341495,11.07178369762151,13.619356561519496,14.625401696491934,14.735496154332926,15.190432658922335,15.28096478926777,11.517265630439582,11.55393252978369,11.576502424589652,11.636622702316405,11.640789466995129,10.028497560745835,10.698958342625891,11.515539027595795,11.594497174908026,11.617071532704768
-1.46,36.79000000000006,9.621055964351205,11.781042080323294,12.18224579037022,12.19942758830406,12.288047096159568,9.050393802627418,10.729308441024976,10.770249780859475,10.794871786009889,11.238388682697355,13.755086666597405,14.57991950183395,14.728391169873415,15.239416979527247,15.373215042428818,11.755567813579624,11.791163710801857,11.81360345950315,11.875690570753708,11.878862797023004,10.180261100721202,10.877801312201415,11.739104797897365,11.830320151758558,11.855645194173233
-1.46,36.79500000000007,9.796816818687697,12.03708326864343,12.423871771448715,12.462683653193503,12.516796354901423,9.217835234255006,10.883133832691762,10.94690422703599,11.041427075806633,11.429696988102958,13.911777470237745,14.555594721486539,14.742312339360186,15.308495109139782,15.345119015217055,12.014946889489082,12.049453660937385,12.061245184906634,12.07172945895696,12.135595258104214,10.359743044681935,11.081742655296814,11.98437027698833,12.087191243927139,12.115110485021427
-1.46,36.80000000000007,10.000506427609373,12.312976969609965,12.68533303503658,12.744824099094512,12.74900062810838,9.415251029531836,11.062854583600958,11.124737055562024,11.333470365187841,11.644491118821254,14.088729633193005,14.552533450653101,14.777200238532894,15.337184277487003,15.397396606478758,12.243560271475749,12.294068895804994,12.327478757605153,12.342846423101314,12.349562125115858,10.56553088797735,11.309424666564874,12.250032144279825,12.363798629928242,12.39415540803049
-1.46,36.80500000000007,10.230456732638899,12.607419926854378,12.96542963986115,13.00090189798195,13.034969376905707,9.640799998565107,11.267231610982671,11.327155162479988,11.644809843309408,11.874599548969321,14.285190236500673,14.57074909153912,14.832906923059392,15.34944209579009,15.39253638146187,12.44811262610086,12.551964851400784,12.591620959684501,12.623935148413313,12.645802637790638,10.796120463285757,11.55944459821468,12.534793626375581,12.658848607814686,12.691488549912368
-1.46,36.81000000000007,10.48494006793255,12.919143922487473,13.262980977238499,13.271378618153962,13.321201746464748,9.89255803094257,11.494949844742871,11.552866341925709,11.9739404197232,12.104156516062378,14.500366361882664,14.610162061551522,14.909199033032946,15.128821882964736,15.191884816558808,12.673825582787728,12.781916623000528,12.906328443439403,12.937555868999542,12.959188676217732,11.049959198601236,11.830386285734026,12.837383771460736,12.971082711544508,13.005855683756552
-1.46,36.81500000000008,10.762216250284496,13.246929051212527,13.559319223760818,13.576839476807686,13.624170154661682,10.168578627261954,11.744651668346343,11.800534075791319,12.319436236424917,12.354541780345313,14.670601520081389,14.733438033420208,14.79638053120322,15.005762591252838,15.009202491290004,12.919590124062283,13.031598927372032,13.236967798839476,13.267123735596849,13.28630098058313,11.325483947440683,12.120846795508303,13.156572504102806,13.299290675216447,13.336052250979746
-1.46,36.82000000000008,11.06057123875711,13.589613166155512,13.863635609654596,13.905901016309326,13.93797659229062,10.466942501133506,12.014966533803172,12.0688067079313,12.624516123766604,12.679959633672874,14.477710772145391,14.751809027276076,14.84515280115087,14.98357017070459,15.122209269927692,13.184284969788562,13.299900592501135,13.582375574437213,13.608629751285138,13.61148043703422,11.621152357520458,12.429457813221942,13.491181754599578,13.642319646528032,13.680932144228928
-1.46,36.82500000000008,11.37834701340066,13.769609180572305,13.946098014987896,14.097223352310394,14.183273738553039,10.78579558796059,12.304535989871342,12.356342231943572,12.912850933709324,13.025716145327127,14.173741520840803,14.700359555959245,14.853443954633457,15.24992330984764,15.258083843718262,13.466793919691037,13.585718532965062,13.941454124395971,13.945731274784205,13.969532357237542,11.935467511148437,12.754901925971641,13.840093111521325,13.9990801602178,14.03941331214179
