region_cluster,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,195000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite at Lenana Road
                                         
 
 
 
 
 
                                            "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,50000,55,0,0,0,"1 Bed Apartment with En Suite at Kirawa Road
                                         
 
 
 
 
 
                                                1 Bed"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,260000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite in Parklands
                                         
 
 
 
 
 
                                              "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,95000,0,0,0,0,"2 Bed Apartment with En Suite in Westlands Area
                                         
 
 
 
 
 
                                                2 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,90000,0,0,0,0,"3 Bed Apartment with En Suite in Kilimani
                                         
 
 
 
 
 
                                                3 Bed Ap"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"1 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   12 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"2 Bed Apartment with En Suite in Kilimani
                                         
 
 
 
 
 
                                                2 Bed Ap"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,55000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   4 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,55000,0,0,0,0,"1 Bed Apartment with En Suite in Kilimani
                                         
 
 
 
 
 
                                                1 Bed Ap"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,55000,0,0,0,0,"1 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   7 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,0,1,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
   
 
 
           
 
 
   11 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,0,1,0,0,"2 Bed Apartment with Borehole at Wood Avenue
                                         
 
 
 
 
 
                                                2 Bed"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,80000,100,0,0,0,"2 Bed Apartment with En Suite at Ngong Road
                                         
 
 
 
 
 
                                                2 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,300000,300,0,0,0,"Serviced 3 Bed Apartment with En Suite at Muthangari Drive
                                         
 
 
 
 
 
                                       "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,70000,0,1,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   7 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,70000,0,1,0,0,"1 Bed Apartment with Borehole at Kilimani
                                         
 
 
 
 
 
                                                1 Bed Ap"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,54,0,0,0,"1 Bed Apartment with En Suite at Ngong Road
                                         
 
 
 
 
 
                                                1 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,65,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   9 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                   "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,0,0,0,0,"1 Bed Apartment in Kileleshwa
                                         
 
 
 
 
 
                                                1 Bed Apartment in K"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,130000,65,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
             
 
 
   19 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
              "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,130000,65,0,0,0,"Serviced 1 Bed Apartment with Swimming Pool at Sports Road
                                         
 
 
 
 
 
                                       "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,0,0,0,0,"2 Bed Apartment with En Suite at Plainsview
                                         
 
 
 
 
 
                                                2 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"1 Bed Apartment with En Suite in Westlands Area
                                         
 
 
 
 
 
                                                1 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,50000,0,0,0,0,"1 Bed Apartment with Backup Generator in Westlands Area
                                         
 
 
 
 
 
                                          "
Kilimani-Kileleshwa,Westlands Area,Apartment,5,0,0,0,0,"1 Bedrooms
         
 
   
 
     
                                        1 Bedroom Apartment for Rent – Westlands (KSh 5...
                        "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,280000,0,0,0,0,"Serviced 3 Bed Apartment with En Suite at Brookside Drive
                                         
 
 
 
 
 
                                        "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,330000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite at School Lane
                                         
 
 
 
 
 
                                            "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,170000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite at Runda
                                         
 
 
 
 
 
                                                Se"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,90000,0,0,0,0,"2 Bed Apartment with En Suite at Mandera
                                         
 
 
 
 
 
                                                2 Bed Apa"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,130000,0,0,0,0,"Serviced 1 Bed Apartment with Gym at Gatundu Close
                                         
 
 
 
 
 
                                               "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,85000,0,0,0,0,"3 Bed Apartment with En Suite at Kileleshwa
                                         
 
 
 
 
 
                                                3 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,170000,255,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   8 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,170000,255,0,0,0,"3 Bed Apartment with En Suite at Rhapta Rd
                                         
 
 
 
 
 
                                                3 Bed A"
